,season,bowler,wickets
629,2013,DJ Bravo,32
447,2011,SL Malinga,28
655,2013,JP Faulkner,28
1269,2019,Imran Tahir,26
848,2015,DJ Bravo,26
1049,2017,B Kumar,26
1280,2019,K Rabada,25
537,2012,M Morkel,25
640,2013,Harbhajan Singh,24
576,2012,SP Narine,24
668,2013,MG Johnson,24
1076,2017,JD Unadkat,24
911,2015,SL Malinga,24
1145,2018,AJ Tye,24
925,2015,YS Chahal,23
174,2009,RP Singh,23
780,2014,MM Sharma,23
939,2016,B Kumar,23
695,2013,R Vinay Kumar,23
402,2011,MM Patel,22
1257,2019,DL Chahar,22
575,2012,SL Malinga,22
84,2008,Sohail Tanvir,22
831,2015,A Nehra,22
713,2013,SP Narine,22
1218,2018,S Kaul,21
284,2010,PP Ojha,21
812,2014,SP Narine,21
1032,2016,YS Chahal,21
99,2009,A Kumble,21
1216,2018,Rashid Khan,21
598,2013,A Mishra,21
432,2011,S Aravind,21
671,2013,MM Sharma,20
1276,2019,K Ahmed,20
1077,2017,JJ Bumrah,20
711,2013,SL Malinga,20
735,2014,B Kumar,20
1231,2018,UT Yadav,20
416,2011,R Ashwin,20
1019,2016,SR Watson,20
882,2015,MA Starc,20
1316,2019,S Gopal,20
102,2009,A Nehra,19
1275,2019,JJ Bumrah,19
558,2012,R Vinay Kumar,19
333,2011,A Mishra,19
676,2013,NLTC Perera,19
77,2008,SK Warne,19
800,2014,RA Jadeja,19
1297,2019,Mohammed Shami,19
658,2013,KK Cooper,19
585,2012,UT Yadav,19
636,2013,DW Steyn,19
1089,2017,MJ McClenaghan,19
68,2008,S Sreesanth,19
1172,2018,HH Pandya,18
861,2015,Harbhajan Singh,18
840,2015,B Kumar,18
885,2015,MJ McClenaghan,18
953,2016,DS Kulkarni,18
187,2009,SL Malinga,18
508,2012,DW Steyn,18
164,2009,PP Ojha,18
1073,2017,Imran Tahir,18
815,2014,Sandeep Sharma,18
1340,2019,YS Chahal,18
1229,2018,TA Boult,18
595,2012,Z Khan,17
51,2008,MS Gony,17
363,2011,DE Bollinger,17
860,2015,HV Patel,17
211,2010,A Mishra,17
210,2010,A Kumble,17
1181,2018,JJ Bumrah,17
949,2016,DJ Bravo,17
1189,2018,Kuldeep Yadav,17
1313,2019,Rashid Khan,17
987,2016,MJ McClenaghan,17
1135,2017,UT Yadav,17
1126,2017,Sandeep Sharma,17
992,2016,Mustafizur Rahman,17
545,2012,P Awana,17
246,2010,Harbhajan Singh,17
58,2008,PP Chawla,17
1223,2018,SP Narine,17
79,2008,SR Watson,17
1112,2017,Rashid Khan,17
36,2008,JA Morkel,17
1102,2017,P Negi,17
733,2014,AR Patel,17
778,2014,MG Johnson,17
135,2009,IK Pathan,17
1061,2017,CR Woakes,17
1326,2019,SL Malinga,16
652,2013,JH Kallis,16
603,2013,AB Dinda,16
1115,2017,S Kaul,16
720,2013,UT Yadav,16
528,2012,KA Pollard,16
158,2009,MM Patel,16
1266,2019,Harbhajan Singh,16
376,2011,Iqbal Abdulla,16
1222,2018,SN Thakur,16
426,2011,RJ Harris,16
551,2012,PP Chawla,16
811,2014,SL Malinga,16
792,2014,R Ashwin,16
291,2010,R Vinay Kumar,16
821,2014,VR Aaron,16
270,2010,M Muralitharan,16
